           0.000000   206.57      0.23924      4.06122-321   205.88     -0.10634      4.06122-321   206.54     -0.43290      4.06122-321
           0.020669   412.94       6.1315       0.0000       412.13       5.6960       0.0000       412.85       5.5052       0.0000    
           0.020749   412.94       6.1547       0.0000       412.13       5.7188       0.0000       412.85       5.5287       0.0000    
           0.020749   412.94       6.1547       0.0000       412.13       5.7188       0.0000       412.85       5.5287       0.0000    
           0.020925   412.94       6.2054       0.0000       412.13       5.7689       0.0000       412.85       5.5800       0.0000    
           0.021540   412.94       6.3832       0.0000       412.12       5.9446       0.0000       412.85       5.7604       0.0000    
           0.021540   412.94       6.3832       0.0000       412.12       5.9446       0.0000       412.85       5.7604       0.0000    
           0.021746   412.94       6.4428       0.0000       412.12       6.0036       0.0000       412.85       5.8209       0.0000    
           0.022199   412.94       6.5736       0.0000       412.12       6.1329       0.0000       412.85       5.9537       0.0000    
           0.022199   412.94       6.5736       0.0000       412.12       6.1329       0.0000       412.85       5.9537       0.0000    
           0.022369   412.94       6.6226       0.0000       412.12       6.1813       0.0000       412.85       6.0033       0.0000    
           0.022791   412.94       6.7445       0.0000       412.12       6.3018       0.0000       412.85       6.1271       0.0000    
           0.022791   412.94       6.7445       0.0000       412.12       6.3018       0.0000       412.85       6.1271       0.0000    
           0.022946   412.94       6.7892       0.0000       412.12       6.3461       0.0000       412.85       6.1725       0.0000    
           0.023405   412.94       6.9217       0.0000       412.11       6.4771       0.0000       412.84       6.3071       0.0000    
           0.023405   412.94       6.9217       0.0000       412.11       6.4771       0.0000       412.84       6.3071       0.0000    
           0.023673   412.94       6.9991       0.0000       412.11       6.5536       0.0000       412.84       6.3857       0.0000    
           0.024146   412.93       7.1358       0.0000       412.11       6.6888       0.0000       412.84       6.5245       0.0000    
           0.024146   412.93       7.1358       0.0000       412.11       6.6888       0.0000       412.84       6.5245       0.0000    
           0.024506   412.93       7.2396       0.0000       412.11       6.7916       0.0000       412.84       6.6301       0.0000    
           0.024866   412.93       7.3436       0.0000       412.11       6.8945       0.0000       412.84       6.7358       0.0000    
           0.024866   412.93       7.3436       0.0000       412.11       6.8945       0.0000       412.84       6.7358       0.0000    
           0.024964   412.93       7.3719       0.0000       412.10       6.9225       0.0000       412.84       6.7645       0.0000    
